               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.009385,             0.01615,            0.003647,          3.1133e-05,               0.375,          4.1962e-05,          6.5622e-06,           0.0096258,            0.005579,           0.0026945,              0.0784,              0.0024,              0.0024
                   1,           0.0071161,           0.0068785,            0.002887,          7.2508e-05,               0.875,          0.00025376,          3.3882e-05,           0.0088811,           0.0018474,           0.0028156,            0.055851,           0.0048515,           0.0048515
                   2,           0.0092825,           0.0031168,           0.0027861,          0.00011983,               0.625,           0.0014159,          0.00034658,           0.0071379,          0.00050317,           0.0028973,            0.033253,           0.0072535,           0.0072535
                   3,            0.011581,           0.0017773,           0.0044514,          8.7474e-05,               0.125,          0.00026613,          8.8001e-05,           0.0091666,          0.00017777,            0.001542,            0.010606,            0.009606,            0.009606
                   4,            0.014512,           0.0011426,           0.0041603,          0.00060606,                0.25,          0.00047514,          4.7514e-05,           0.0072352,          0.00021237,           0.0014397,            0.009604,            0.009604,            0.009604
                   5,            0.014719,          0.00087167,           0.0033873,           0.0011641,                0.25,           0.0010993,          0.00029231,            0.007419,          0.00020444,           0.0014522,            0.009604,            0.009604,            0.009604
                   6,            0.018075,           0.0006788,           0.0045058,          0.00015733,               0.125,          0.00012822,          3.8467e-05,             0.00812,          0.00016831,           0.0011571,            0.009505,            0.009505,            0.009505
                   7,           0.0083801,          0.00073479,           0.0011596,          0.00017906,               0.375,           0.0032495,           0.0006737,           0.0072533,          0.00020774,          0.00086641,            0.009406,            0.009406,            0.009406
                   8,            0.014249,          0.00075562,           0.0022233,          9.8348e-05,                0.25,          0.00043523,          0.00018166,           0.0064652,          0.00023465,          0.00072278,            0.009307,            0.009307,            0.009307
                   9,           0.0078444,          0.00059116,           0.0019152,          0.00022242,               0.375,           0.0030217,          0.00099485,           0.0070337,          0.00020012,           0.0007532,            0.009208,            0.009208,            0.009208
                  10,             0.00416,          0.00031447,          0.00091553,          0.00019845,                0.25,           0.0011361,          0.00037147,           0.0077241,          0.00015428,          0.00073357,            0.009109,            0.009109,            0.009109
                  11,           0.0040514,          0.00033751,          0.00048556,          0.00083612,               0.375,           0.0098884,           0.0037859,           0.0073338,          0.00019496,           0.0011052,             0.00901,             0.00901,             0.00901
                  12,            0.012177,          0.00057557,             0.00259,                   0,                   0,                   0,                   0,           0.0081176,          0.00015491,          0.00075381,            0.008911,            0.008911,            0.008911
                  13,            0.013728,          0.00056274,           0.0021752,          0.00042992,               0.125,          0.00053124,          0.00010882,           0.0067872,          0.00024124,           0.0015406,            0.008812,            0.008812,            0.008812
                  14,           0.0035544,          0.00027738,           0.0013384,                   0,                   0,                   0,                   0,           0.0079326,          0.00019134,           0.0010026,            0.008713,            0.008713,            0.008713
                  15,             0.01269,          0.00059645,           0.0013438,          0.00019826,                 0.5,          0.00045914,          0.00014624,           0.0068878,          0.00023455,          0.00077366,            0.008614,            0.008614,            0.008614
                  16,           0.0058934,          0.00034591,          0.00094444,          0.00049211,               0.375,           0.0012765,          0.00062986,           0.0069836,           0.0002157,            0.001027,            0.008515,            0.008515,            0.008515
                  17,            0.010567,          0.00034778,           0.0013664,                   0,                   0,                   0,                   0,           0.0062011,          0.00024992,          0.00093463,            0.008416,            0.008416,            0.008416
                  18,             0.01367,          0.00049752,           0.0020981,          0.00057176,                0.25,           0.0038751,            0.001065,           0.0068234,          0.00023772,          0.00071684,            0.008317,            0.008317,            0.008317
                  19,            0.011394,          0.00030311,           0.0021421,          0.00042626,               0.125,            0.001083,          0.00043321,            0.007071,          0.00023534,          0.00055033,            0.008218,            0.008218,            0.008218
                  20,             0.01116,          0.00038585,           0.0010865,          4.9087e-05,               0.125,           8.798e-05,          5.0561e-05,            0.006932,          0.00026652,           0.0004928,            0.008119,            0.008119,            0.008119
                  21,            0.008455,          0.00047359,          0.00066936,          0.00022578,                 0.5,           0.0010063,          0.00020045,           0.0070964,          0.00024523,          0.00060746,             0.00802,             0.00802,             0.00802
                  22,           0.0046578,          0.00024396,          0.00076004,           0.0001175,                0.25,          0.00016588,           6.635e-05,           0.0077151,          0.00019957,          0.00064967,            0.007921,            0.007921,            0.007921
                  23,              0.0162,          0.00058159,           0.0024291,          0.00024355,               0.375,          0.00050675,          0.00015056,           0.0066711,          0.00023641,          0.00066191,            0.007822,            0.007822,            0.007822
                  24,            0.016387,          0.00063457,           0.0022526,          0.00015848,               0.375,           0.0040991,          0.00071978,           0.0073432,          0.00023245,          0.00048131,            0.007723,            0.007723,            0.007723
                  25,            0.016316,          0.00072278,           0.0017784,          0.00013176,               0.375,          0.00035689,          9.6974e-05,           0.0074282,          0.00021456,          0.00048265,            0.007624,            0.007624,            0.007624
                  26,           0.0029199,          0.00026561,           0.0010154,                   0,                   0,                   0,                   0,           0.0078268,          0.00017495,          0.00049128,            0.007525,            0.007525,            0.007525
                  27,            0.014959,          0.00073664,           0.0013579,                   0,                   0,                   0,                   0,           0.0071916,          0.00020836,          0.00050363,            0.007426,            0.007426,            0.007426
                  28,           0.0076657,          0.00037332,          0.00088199,                   0,                   0,                   0,                   0,           0.0068572,          0.00023275,           0.0006929,            0.007327,            0.007327,            0.007327
                  29,           0.0020614,          0.00017412,          0.00038467,                   0,                   0,                   0,                   0,           0.0069285,          0.00022789,           0.0010101,            0.007228,            0.007228,            0.007228
                  30,           0.0072814,          0.00043127,          0.00090226,                   0,                   0,                   0,                   0,           0.0071269,          0.00022432,          0.00047467,            0.007129,            0.007129,            0.007129
                  31,            0.017963,            0.001133,           0.0013743,          0.00040535,                0.25,            0.015797,           0.0094374,           0.0061044,          0.00028153,          0.00040314,             0.00703,             0.00703,             0.00703
                  32,            0.013535,           0.0010191,          0.00088302,           0.0011261,               0.375,           0.0022786,          0.00079282,           0.0059594,          0.00029049,          0.00036346,            0.006931,            0.006931,            0.006931
                  33,            0.010211,          0.00065404,           0.0006897,            0.000489,                0.25,           0.0010349,          0.00014957,           0.0061427,           0.0002706,          0.00037715,            0.006832,            0.006832,            0.006832
                  34,                   0,          0.00012601,                   0,          0.00015753,               0.125,           0.0001041,           3.123e-05,            0.006741,            0.000234,          0.00038452,            0.006733,            0.006733,            0.006733
                  35,            0.018249,          0.00090762,           0.0016241,                   0,                   0,                   0,                   0,           0.0066031,          0.00025379,          0.00041656,            0.006634,            0.006634,            0.006634
                  36,           0.0076639,          0.00044695,          0.00094975,                   0,                   0,                   0,                   0,           0.0075084,          0.00020818,          0.00032613,            0.006535,            0.006535,            0.006535
                  37,            0.017212,           0.0013113,           0.0018302,                   0,                   0,                   0,                   0,           0.0053939,          0.00028691,          0.00041938,            0.006436,            0.006436,            0.006436
                  38,           0.0072012,          0.00045199,          0.00041075,          0.00021968,                0.25,           0.0020601,          0.00065367,           0.0057863,          0.00024973,          0.00046208,            0.006337,            0.006337,            0.006337
                  39,            0.010346,          0.00057329,          0.00077801,          0.00021186,               0.375,           0.0043416,           0.0017185,           0.0061251,           0.0002684,          0.00027832,            0.006238,            0.006238,            0.006238
                  40,           0.0054465,          0.00024506,          0.00098307,                   0,                   0,                   0,                   0,           0.0069835,          0.00023746,          0.00033839,            0.006139,            0.006139,            0.006139
                  41,            0.015097,           0.0007465,          0.00090031,          0.00023738,               0.375,           0.0075621,          0.00095611,           0.0061751,          0.00028469,           0.0004589,             0.00604,             0.00604,             0.00604
                  42,                   0,           0.0001541,                   0,          0.00033245,               0.375,           0.0028459,          0.00078466,           0.0059768,          0.00028903,          0.00059919,            0.005941,            0.005941,            0.005941
                  43,           0.0056447,          0.00041949,           0.0005831,          0.00038491,                0.25,          0.00074247,          0.00019445,           0.0059215,          0.00027107,          0.00040677,            0.005842,            0.005842,            0.005842
                  44,                   0,          0.00012918,                   0,          0.00070822,                0.25,           0.0010871,          0.00025098,           0.0060212,          0.00026762,          0.00045037,            0.005743,            0.005743,            0.005743
                  45,           0.0063151,           0.0005151,          0.00041288,            0.001105,                0.25,           0.0021711,          0.00061633,           0.0053165,          0.00030776,          0.00044826,            0.005644,            0.005644,            0.005644
                  46,           0.0018811,          0.00015944,          0.00015601,          0.00086207,               0.125,          0.00070335,          0.00049235,           0.0055061,          0.00031211,          0.00035533,            0.005545,            0.005545,            0.005545
                  47,           0.0053947,          0.00046906,          0.00045625,                   0,                   0,                   0,                   0,            0.005719,          0.00029729,          0.00032242,            0.005446,            0.005446,            0.005446
                  48,            0.012162,          0.00084178,          0.00079157,           0.0016129,               0.125,            0.018113,           0.0072452,           0.0050271,          0.00030309,          0.00036795,            0.005347,            0.005347,            0.005347
                  49,           0.0070897,          0.00037573,          0.00093171,          0.00042845,               0.125,          0.00066901,           0.0002676,           0.0054691,          0.00028031,          0.00035446,            0.005248,            0.005248,            0.005248
                  50,           0.0069157,          0.00059927,           0.0010986,          0.00039714,                0.25,           0.0007959,          0.00019849,           0.0058097,          0.00026659,          0.00031959,            0.005149,            0.005149,            0.005149
                  51,            0.010518,           0.0006204,           0.0020037,          0.00031368,               0.125,           0.0002206,          4.4121e-05,           0.0051554,          0.00031596,          0.00036328,             0.00505,             0.00505,             0.00505
                  52,           0.0091421,          0.00036721,          0.00055558,           0.0015576,               0.125,           0.0010439,          0.00010439,           0.0053122,          0.00031266,          0.00050028,            0.004951,            0.004951,            0.004951
                  53,            0.014349,           0.0010876,           0.0013676,                   0,                   0,                   0,                   0,           0.0057479,          0.00029021,          0.00051956,            0.004852,            0.004852,            0.004852
                  54,            0.002914,          0.00029595,          0.00030189,                   0,                   0,                   0,                   0,           0.0064135,          0.00025628,          0.00049663,            0.004753,            0.004753,            0.004753
                  55,            0.011221,          0.00052726,           0.0008417,                   0,                   0,                   0,                   0,           0.0055408,          0.00027345,           0.0004597,            0.004654,            0.004654,            0.004654
                  56,           0.0065025,          0.00028029,          0.00049095,                   0,                   0,                   0,                   0,           0.0059233,          0.00027649,          0.00041549,            0.004555,            0.004555,            0.004555
                  57,           0.0052725,          0.00041252,          0.00033902,           0.0018315,               0.125,           0.0014166,          0.00042497,           0.0059127,          0.00028203,           0.0004244,            0.004456,            0.004456,            0.004456
                  58,            0.023225,           0.0011761,           0.0023546,          0.00035014,               0.125,          0.00073949,          0.00021865,           0.0053872,          0.00030253,          0.00040888,            0.004357,            0.004357,            0.004357
                  59,           0.0086715,          0.00054411,          0.00075781,          0.00036828,               0.375,           0.0014715,          0.00038664,           0.0054651,          0.00028112,          0.00041956,            0.004258,            0.004258,            0.004258
                  60,           0.0062063,          0.00056919,          0.00038246,          0.00030813,               0.375,           0.0010051,          0.00024322,           0.0056909,          0.00026972,          0.00041529,            0.004159,            0.004159,            0.004159
                  61,            0.014945,          0.00084599,           0.0012407,          0.00049983,               0.375,           0.0033236,           0.0013643,           0.0045725,          0.00032862,          0.00045873,             0.00406,             0.00406,             0.00406
                  62,            0.007369,           0.0005088,          0.00037527,          0.00055638,               0.375,           0.0044697,           0.0012969,           0.0056629,          0.00028194,          0.00047801,            0.003961,            0.003961,            0.003961
                  63,           0.0083687,          0.00038266,          0.00059727,          0.00058824,               0.375,           0.0045701,           0.0016818,           0.0057875,           0.0002901,          0.00062115,            0.003862,            0.003862,            0.003862
                  64,           0.0093341,          0.00054947,          0.00065642,          0.00070489,               0.375,           0.0023865,          0.00095712,           0.0051824,          0.00031915,          0.00065786,            0.003763,            0.003763,            0.003763
                  65,           0.0093159,           0.0007827,          0.00092676,          0.00053514,               0.375,           0.0025308,           0.0010343,           0.0041045,          0.00035772,          0.00044236,            0.003664,            0.003664,            0.003664
                  66,           0.0073524,          0.00099782,          0.00067694,          0.00053802,               0.375,           0.0036452,           0.0016193,           0.0041444,          0.00035351,          0.00035089,            0.003565,            0.003565,            0.003565
                  67,           0.0047226,          0.00045457,          0.00030652,           0.0021503,                 0.5,           0.0029914,          0.00075937,           0.0043159,          0.00034532,          0.00031788,            0.003466,            0.003466,            0.003466
                  68,            0.009853,          0.00076748,           0.0009688,          0.00064516,               0.375,           0.0016567,          0.00066014,           0.0044691,          0.00033709,           0.0003387,            0.003367,            0.003367,            0.003367
                  69,           0.0086217,          0.00063346,           0.0006311,          0.00070555,               0.375,           0.0022079,           0.0014261,           0.0042632,          0.00035121,          0.00038945,            0.003268,            0.003268,            0.003268
                  70,            0.011259,          0.00098013,          0.00076121,           0.0013481,               0.625,           0.0030947,           0.0016038,           0.0040964,          0.00036535,          0.00037616,            0.003169,            0.003169,            0.003169
                  71,           0.0044639,           0.0001701,          0.00035792,           0.0012304,               0.625,           0.0028041,           0.0014646,           0.0042654,          0.00034989,          0.00035127,             0.00307,             0.00307,             0.00307
                  72,            0.018639,           0.0015331,           0.0018381,            0.001684,               0.625,           0.0037532,           0.0016593,           0.0037462,          0.00037741,          0.00030186,            0.002971,            0.002971,            0.002971
                  73,           0.0048445,           0.0006424,          0.00041315,           0.0016591,                 0.5,           0.0037969,            0.001249,            0.003855,          0.00036935,          0.00026029,            0.002872,            0.002872,            0.002872
                  74,           0.0096223,          0.00046227,           0.0011926,           0.0014663,               0.375,            0.002366,           0.0011197,           0.0037471,          0.00037574,          0.00023339,            0.002773,            0.002773,            0.002773
                  75,            0.013306,           0.0015395,           0.0008779,           0.0017422,               0.375,           0.0030918,           0.0013538,            0.003505,          0.00039126,           0.0002146,            0.002674,            0.002674,            0.002674
                  76,           0.0040602,          0.00064729,          0.00023793,           0.0015213,               0.375,             0.00292,           0.0013898,           0.0034694,          0.00039057,           0.0002067,            0.002575,            0.002575,            0.002575
                  77,           0.0065432,          0.00044838,          0.00042653,          0.00096618,                0.25,           0.0036198,           0.0013456,            0.003477,          0.00039178,          0.00020219,            0.002476,            0.002476,            0.002476
                  78,           0.0073905,          0.00091589,           0.0003726,           0.0015258,                 0.5,           0.0034477,           0.0012237,           0.0036465,          0.00037291,          0.00020671,            0.002377,            0.002377,            0.002377
                  79,            0.013148,          0.00092165,          0.00048388,           0.0022194,                 0.5,           0.0063982,           0.0021282,           0.0038353,          0.00037382,          0.00019942,            0.002278,            0.002278,            0.002278
                  80,           0.0078084,           0.0010331,          0.00037083,            0.001287,                0.25,           0.0022085,            0.001147,           0.0036874,          0.00038064,          0.00018826,            0.002179,            0.002179,            0.002179
                  81,           0.0022185,          0.00042254,          0.00014917,          0.00087951,                0.25,           0.0051489,           0.0018467,           0.0038192,          0.00035396,          0.00019148,             0.00208,             0.00208,             0.00208
                  82,           0.0059326,          0.00034839,          0.00035898,           0.0022924,               0.625,            0.012138,           0.0028231,           0.0044514,          0.00033628,           0.0001993,            0.001981,            0.001981,            0.001981
                  83,           0.0050112,          0.00022931,          0.00014468,           0.0023076,               0.625,            0.010749,           0.0026232,           0.0050023,          0.00032382,          0.00021931,            0.001882,            0.001882,            0.001882
                  84,           0.0052146,          0.00064603,          0.00023344,           0.0026931,               0.625,            0.017267,           0.0036132,           0.0038613,          0.00036159,          0.00021137,            0.001783,            0.001783,            0.001783
                  85,            0.007991,          0.00055739,           0.0013004,           0.0024913,               0.625,           0.0097756,           0.0033699,           0.0036394,          0.00037099,          0.00020549,            0.001684,            0.001684,            0.001684
                  86,           0.0059168,          0.00082019,          0.00027442,           0.0020118,               0.625,           0.0092197,           0.0034031,           0.0035589,          0.00037798,          0.00020024,            0.001585,            0.001585,            0.001585
                  87,           0.0083102,           0.0010338,          0.00026537,           0.0017637,               0.625,            0.011762,           0.0063988,           0.0032497,          0.00038945,          0.00020244,            0.001486,            0.001486,            0.001486
                  88,           0.0054219,          0.00062197,          0.00035925,           0.0016732,               0.625,            0.012805,           0.0057456,           0.0033802,          0.00038863,          0.00020293,            0.001387,            0.001387,            0.001387
                  89,           0.0056699,          0.00047689,          0.00025286,           0.0022148,               0.875,            0.014524,           0.0059316,            0.003767,          0.00037987,          0.00020784,            0.001288,            0.001288,            0.001288
                  90,           0.0018987,          0.00015679,          0.00099599,           0.0017671,               0.875,            0.017744,           0.0088364,           0.0042955,           0.0003531,           0.0002419,            0.001189,            0.001189,            0.001189
                  91,            0.008587,          0.00088585,          0.00036834,           0.0014923,               0.625,            0.012671,           0.0068265,           0.0036747,          0.00037337,          0.00023661,             0.00109,             0.00109,             0.00109
                  92,           0.0044661,          0.00045082,          0.00052576,           0.0014977,               0.625,            0.012589,           0.0073956,           0.0032612,          0.00038625,          0.00023567,            0.000991,            0.000991,            0.000991
                  93,            0.002653,          0.00019687,          9.5072e-05,           0.0021062,               0.875,            0.014422,           0.0078126,           0.0033206,          0.00038101,          0.00023824,            0.000892,            0.000892,            0.000892
                  94,           0.0062047,          0.00033369,          0.00038524,           0.0016384,               0.625,            0.014306,           0.0062857,           0.0034334,          0.00037567,          0.00023534,            0.000793,            0.000793,            0.000793
                  95,           0.0070499,          0.00096736,           0.0014332,           0.0018874,               0.625,            0.014142,           0.0057999,           0.0032992,          0.00038456,          0.00023863,            0.000694,            0.000694,            0.000694
                  96,           0.0068061,          0.00075393,          0.00043643,           0.0018655,               0.625,            0.013733,           0.0068181,           0.0030542,          0.00039543,          0.00024077,            0.000595,            0.000595,            0.000595
                  97,           0.0039827,          0.00057518,          0.00022943,           0.0019001,               0.625,            0.012572,           0.0074042,           0.0029326,          0.00040135,          0.00023313,            0.000496,            0.000496,            0.000496
                  98,           0.0025281,          0.00034575,           0.0002143,           0.0018931,               0.625,            0.012499,           0.0079493,           0.0029317,          0.00040016,          0.00023524,            0.000397,            0.000397,            0.000397
                  99,           0.0090256,           0.0011861,          0.00075149,            0.001943,               0.625,            0.012487,           0.0079214,           0.0029116,          0.00040182,          0.00023465,            0.000298,            0.000298,            0.000298
